State,AreaCode,Keyword,Impression Share (IS),Clicks,# Call Conversions,# Invoiced,# of Payments,$ Ad Cost,CPC,$ Invoiced,$ Received,$ Revenue / $ Cost,$ Paid / $ Invoiced ,Latitude,Longitude
Texas,210,best structural engineer,100.00,1,0,0,0,12.46,12.46,0,0,0.00,0.00,29.370752,-98.593203
Texas,210,civil structural engineer,100.00,1,0,0,0,12.08,12.08,0,0,0.00,0.00,29.546515,-98.557207
Texas,210,foundation cracks,82.84,6,0,4,1,72.62,12.10,1650,400,5.51,0.24,29.5203202,-98.4252274
Texas,210,foundation engineer inspection,100.00,6,0,2,0,74.09,12.35,800,0,0.00,0.00,29.5486646,-98.4952754
Texas,210,foundation engineering,91.64,38,8,4,2,437.53,11.51,1550,750,1.71,0.48,29.4764131,-98.511943
Texas,210,home inspection engineers,100.00,2,0,3,2,24.15,12.08,1500,1050,43.48,0.70,29.436433,-98.6742425
Texas,210,home structural engineer,100.00,2,0,0,0,20.85,10.43,0,0,0.00,0.00,29.493824,-98.580381
Texas,210,licensed structural engineer,100.00,1,0,0,0,8.84,8.84,0,0,0.00,0.00,29.345246,-98.443874
Texas,210,professional structural engineer,100.00,1,0,0,0,12.13,12.13,0,0,0.00,0.00,29.422124,-98.525978
Texas,210,resident engineer,100.00,1,0,0,0,12.61,12.61,0,0,0.00,0.00,29.474147,-98.348083
Texas,210,residential engineer near me,100.00,1,0,1,0,9.11,9.11,400,0,0.00,0.00,29.502729,-98.664897
Texas,210,residential foundation engineer,100.00,2,0,0,0,22.47,11.24,0,0,0.00,0.00,29.4668685,-98.411042
Texas,210,residential structural engineer,90.63,10,0,7,2,97.77,9.78,2950,850,8.69,0.29,29.48333617,-98.50503817
Texas,210,residential structural engineer inspection,100.00,1,0,0,0,12.76,12.76,0,0,0.00,0.00,29.525969,-98.277499
Texas,210,steel structural engineer,55.00,1,0,0,0,7.34,7.34,0,0,0.00,0.00,29.38799,-98.526028
Texas,210,structural building engineer,100.00,1,0,0,0,9.27,9.27,0,0,0.00,0.00,29.525969,-98.277499
Texas,210,structural calculations,100.00,1,0,0,0,7.65,7.65,0,0,0.00,0.00,29.525969,-98.277499
Texas,210,structural design,80.63,1,0,5,1,12.92,12.92,2050,400,30.96,0.20,29.585862,-98.406811
Texas,210,structural engineer,89.56,214,30,19,8,2311.54,10.80,7550,2950,1.28,0.39,29.49700804,-98.48833429
Texas,210,structural engineer costs,100.00,1,0,3,2,9.39,9.39,1500,1050,111.82,0.70,29.401093,-98.730806
Texas,210,structural engineer inspection,100.00,2,1,0,0,21.58,10.79,0,0,0.00,0.00,29.4668685,-98.411042
Texas,210,structural engineer inspection cost,100.00,1,0,0,0,12.69,12.69,0,0,0.00,0.00,29.469011,-98.797801
Texas,210,structural engineer near me,88.75,2,0,0,0,24.77,12.39,0,0,0.00,0.00,29.4449255,-98.547665
Texas,210,structural engineering companies,100.00,1,0,0,0,12.24,12.24,0,0,0.00,0.00,29.404404,-98.505028
Texas,210,structural engineering firms,100.00,5,0,0,0,61.60,12.32,0,0,0.00,0.00,29.426325,-98.468087
Texas,210,structural engineering firms near me,100.00,1,3,0,0,12.32,12.32,0,0,0.00,0.00,29.370752,-98.593203
Texas,210,structural inspection,100.00,1,0,0,0,3.80,3.80,0,0,0.00,0.00,29.406624,-98.630303
Texas,210,top structural engineering firms,100.00,1,0,0,0,12.80,12.80,0,0,0.00,0.00,29.622289,-98.626164
Texas,210,windstorm inspection,98.34,3,0,0,0,15.21,5.07,0,0,0.00,0.00,29.454008,-98.5405425
Texas,325,foundation cracks,100.00,1,0,0,0,8.33,8.33,0,0,0.00,0.00,31.706204,-99.151374
Texas,325,structural engineer,100.00,2,0,0,0,21.57,10.79,0,0,0.00,0.00,30.691484,-99.273312
Texas,361,find a structural engineer,100.00,1,0,0,0,2.89,2.89,0,0,0.00,0.00,28.609718,-96.609368
Texas,361,foundation engineering,100.00,3,3,1,0,26.73,8.91,500,0,0.00,0.00,28.28237767,-97.13811133
Texas,361,home inspection engineers,100.00,2,0,0,0,15.27,7.64,0,0,0.00,0.00,28.9347175,-96.823649
Texas,361,local structural engineer near me,100.00,2,0,0,0,17.72,8.86,0,0,0.00,0.00,28.1386365,-97.167054
Texas,361,residential engineer near me,100.00,2,1,0,0,18.31,9.16,0,0,0.00,0.00,28.321597,-97.2905085
Texas,361,residential structural engineer inspection,100.00,1,0,0,0,13.00,13.00,0,0,0.00,0.00,29.453329,-97.191865
Texas,361,structural calculations,100.00,2,0,0,0,9.96,4.98,0,0,0.00,0.00,27.809478,-97.522896
Texas,361,structural design,100.00,1,0,0,0,2.34,2.34,0,0,0.00,0.00,28.804947,-96.984711
Texas,361,structural engineer,96.00,20,0,2,0,138.21,6.91,1200,0,0.00,0.00,28.481442,-97.13450971
Texas,361,structural engineer near me,100.00,1,0,0,0,12.07,12.07,0,0,0.00,0.00,28.804947,-96.984711
Texas,361,wind inspection,100.00,3,0,0,0,24.19,8.06,0,0,0.00,0.00,28.03475567,-97.07264767
Texas,361,windstorm inspection,98.67,30,3,1,0,148.84,4.96,500,0,0.00,0.00,28.17837892,-97.26068008
Texas,409,civil structural engineer,100.00,1,0,0,0,8.11,8.11,0,0,0.00,0.00,29.310535,-94.775768
Texas,409,find a structural engineer,100.00,1,0,0,0,12.90,12.90,0,0,0.00,0.00,30.073053,-94.105486
Texas,409,foundation cracks,100.00,1,0,0,0,12.55,12.55,0,0,0.00,0.00,30.086269,-94.128303
Texas,409,foundation engineering,96.00,5,2,1,0,36.50,7.30,550,0,0.00,0.00,29.957931,-94.3003248
Texas,409,home structural engineer,100.00,1,0,0,0,9.94,9.94,0,0,0.00,0.00,30.146124,-94.160613
Texas,409,resident engineer,100.00,2,0,1,0,21.03,10.52,550,0,0.00,0.00,29.338862,-94.9151145
Texas,409,residential engineer near me,55.00,1,0,1,0,8.95,8.95,800,0,0.00,0.00,29.881613,-93.940858
Texas,409,residential structural engineer,100.00,2,1,1,0,19.16,9.58,900,0,0.00,0.00,29.942,-94.058511
Texas,409,structural design,100.00,1,0,1,0,4.69,4.69,850,0,0.00,0.00,29.947516,-93.918571
Texas,409,structural engineer,93.09,58,9,11,1,370.05,6.38,8050,500,1.35,0.06,29.82441159,-94.42270355
Texas,409,structural engineer fees,100.00,1,0,1,0,7.99,7.99,900,0,0.00,0.00,29.985971,-93.955847
Texas,409,structural engineer inspection,100.00,1,0,3,0,11.01,11.01,1642.5,0,0.00,0.00,29.364468,-95.131078
